"name","lon","lat","inn","tavern","bar","region"
"The Red Lion",-2.413527,53.5103012,FALSE,FALSE,FALSE,"England"
"The Red Lion",-2.7633361,53.1975837,FALSE,FALSE,FALSE,"England"
"Red Lion",-2.0420155,53.0693205,FALSE,FALSE,FALSE,"England"
"Red Lion",-3.5965958,53.1787813,FALSE,FALSE,FALSE,"Wales"
"Red Lion",-2.070569,53.5375461,FALSE,FALSE,FALSE,"England"
"The Red Lion",-3.1850941,54.15584,FALSE,FALSE,FALSE,"England"
"The Red Lion",-3.4065208,53.1084855,FALSE,FALSE,FALSE,"Wales"
"Red Lion",-2.6067746,53.6853267,FALSE,FALSE,FALSE,"England"
"The Red Lion",-1.5494749,50.7837119,FALSE,FALSE,FALSE,"England"
"The Red Lion",-1.1241527,50.8465256,FALSE,FALSE,FALSE,"England"
"The Red Lion",-1.1857968,51.8728912,FALSE,FALSE,FALSE,"England"
"The Red Lion",-0.971126,51.4509994,FALSE,FALSE,FALSE,"England"
"The Red Lion",-0.2629639,51.240248,FALSE,FALSE,FALSE,"England"
"The Red Lion",-0.9604723,50.9388618,FALSE,FALSE,FALSE,"England"
"The Red Lion",1.1822507,51.3006936,FALSE,FALSE,FALSE,"England"
"Red Lion",-1.5083701,51.7246465,FALSE,FALSE,FALSE,"England"
"The Red Lion",-0.8571807,51.7358362,FALSE,FALSE,FALSE,"England"
"Red Lion",-1.3580669,50.9144243,FALSE,FALSE,FALSE,"England"
"Red Lion",-1.1124354,50.8746341,FALSE,FALSE,FALSE,"England"
"The Red Lion",-1.1169196,51.9303174,FALSE,FALSE,FALSE,"England"
"The Red Lion",-0.1061948,51.2405769,FALSE,FALSE,FALSE,"England"
"The Red Lion",-0.2007408,51.0535412,FALSE,FALSE,FALSE,"England"
"The Red Lion",-0.9965359,50.9133849,FALSE,FALSE,FALSE,"England"
"The Red Lion",-0.3452641,51.4308551,FALSE,FALSE,FALSE,"England"
"The Red Lion",-0.5540608,50.8543179,FALSE,FALSE,FALSE,"England"
"Red Lion",-1.3434352,51.7937898,FALSE,FALSE,FALSE,"England"
"The Red Lion",-0.7880558,51.8302742,FALSE,FALSE,FALSE,"England"
"The Red Lion",-0.2857974,50.8400622,FALSE,FALSE,FALSE,"England"
"The Red Lion",-1.1607872,51.6123918,FALSE,FALSE,FALSE,"England"
"The Red Lion",-0.8103509,51.6657336,FALSE,FALSE,FALSE,"England"
"The Red Lion",-0.9789347,51.5314282,FALSE,FALSE,FALSE,"England"
"The Red Lion",-0.39126,50.9296958,FALSE,FALSE,FALSE,"England"
"Red Lion",0.735224,51.303192,FALSE,FALSE,FALSE,"England"
